N,HC
1,4.35889945
2,4.497615576
3,4.556017351
4,4.589362574
5,4.611275148
6,4.626899767
7,4.638618231
8,4.647859621
9,4.655386114
10,4.661578798
11,4.66672349
12,4.671201277
13,4.675012159
14,4.678441954
15,4.681395388
16,4.684063005
17,4.686444807
18,4.688636065
19,4.690541506
20,4.692351675
21,4.6939713
22,4.695495653
23,4.696924734
24,4.698163271
25,4.699401808
26,4.700545073
27,4.701593065
28,4.702545786
29,4.703498507
30,4.704355955
31,4.705118132
32,4.705880308
33,4.706642485
34,4.707309389
35,4.707976294
36,4.708643198
37,4.70921483
38,4.709786463
39,4.710358095
40,4.710834455
41,4.711406088
42,4.711882448
43,4.712358809
44,4.712739897
45,4.713216257
46,4.713597345
47,4.713978434
48,4.714359522
49,4.71474061
50,4.715026426
51,4.715407515
52,4.715693331
53,4.716074419
54,4.716360235
55,4.716646051
56,4.716931868
57,4.717217684
58,4.7175035
59,4.717789316
60,4.71797986
61,4.718265676
62,4.718456221
63,4.718742037
64,4.718932581
65,4.719123125
66,4.719408941
67,4.719599485
68,4.71979003
69,4.719980574
70,4.720171118
71,4.720361662
72,4.720552206
73,4.72074275
74,4.720933294
75,4.721123838
76,4.72121911
77,4.721409655
78,4.721600199
79,4.721695471
80,4.721886015
81,4.721981287
82,4.722171831
83,4.722362375
84,4.722457647
85,4.722552919
86,4.722743464
87,4.722838736
88,4.72302928
89,4.723124552
90,4.723219824
91,4.723315096
92,4.72350564
93,4.723600912
94,4.723696184
95,4.723791456
96,4.723982
97,4.724077272
98,4.724172544
99,4.724267817
100,4.724363089
101,4.724458361
102,4.724553633
103,4.724648905
104,4.724744177
105,4.724839449
106,4.724934721
107,4.725029993
108,4.725125265
109,4.725220537
110,4.725315809
111,4.725411081
112,4.725506353
113,4.725601625
114,4.725601625
115,4.725696898
116,4.72579217
117,4.725887442
118,4.725982714
119,4.725982714
120,4.726077986
121,4.726173258
122,4.72626853
123,4.726363802
124,4.726363802
125,4.726459074
126,4.726554346
127,4.726554346
128,4.726649618
129,4.72674489
130,4.726840162
131,4.726840162
132,4.726935434
133,4.727030706
134,4.727030706
135,4.727125978
136,4.727125978
137,4.727221251
138,4.727316523
139,4.727316523
140,4.727411795
141,4.727507067
142,4.727507067
143,4.727602339
144,4.727602339
145,4.727697611
146,4.727697611
147,4.727792883
148,4.727792883
149,4.727888155
150,4.727983427
151,4.727983427
152,4.728078699
153,4.728078699
154,4.728173971
155,4.728173971
156,4.728269243
157,4.728269243
158,4.728364515
159,4.728364515
160,4.728459787
161,4.728459787
162,4.728459787
163,4.728555059
164,4.728555059
165,4.728650331
166,4.728650331
167,4.728745604
168,4.728745604
169,4.728840876
170,4.728840876
171,4.728840876
172,4.728936148
173,4.728936148
174,4.72903142
175,4.72903142
176,4.729126692
177,4.729126692
178,4.729126692
179,4.729221964
180,4.729221964
181,4.729317236
182,4.729317236
183,4.729317236
184,4.729412508
185,4.729412508
186,4.729412508
187,4.72950778
188,4.72950778
189,4.72950778
190,4.729603052
191,4.729603052
192,4.729698324
193,4.729698324
194,4.729698324
195,4.729793596
196,4.729793596
197,4.729793596
198,4.729888868
199,4.729888868
200,4.729888868
201,4.72998414
202,4.72998414
203,4.72998414
204,4.72998414
205,4.730079412
206,4.730079412
207,4.730079412
208,4.730174685
209,4.730174685
210,4.730174685
211,4.730269957
212,4.730269957
213,4.730269957
214,4.730269957
215,4.730365229
216,4.730365229
217,4.730365229
218,4.730460501
219,4.730460501
220,4.730460501
221,4.730460501
222,4.730555773
223,4.730555773
224,4.730555773
225,4.730555773
226,4.730651045
227,4.730651045
228,4.730651045
229,4.730746317
230,4.730746317
231,4.730746317
232,4.730746317
233,4.730841589
234,4.730841589
235,4.730841589
236,4.730841589
237,4.730936861
238,4.730936861
239,4.730936861
240,4.730936861
241,4.730936861
242,4.731032133
243,4.731032133
244,4.731032133
245,4.731032133
246,4.731127405
247,4.731127405
248,4.731127405
249,4.731127405
250,4.731222677
251,4.731222677
252,4.731222677
253,4.731222677
254,4.731222677
255,4.731317949
256,4.731317949
257,4.731317949
258,4.731317949
259,4.731317949
260,4.731413221
261,4.731413221
262,4.731413221
263,4.731413221
264,4.731413221
265,4.731508493
266,4.731508493
267,4.731508493
268,4.731508493
269,4.731508493
270,4.731603765
271,4.731603765
272,4.731603765
273,4.731603765
274,4.731603765
275,4.731699038
276,4.731699038
277,4.731699038
278,4.731699038
279,4.731699038
280,4.73179431
281,4.73179431
282,4.73179431
283,4.73179431
284,4.73179431
285,4.73179431
286,4.731889582
287,4.731889582
288,4.731889582
289,4.731889582
290,4.731889582
291,4.731889582
292,4.731984854
293,4.731984854
294,4.731984854
295,4.731984854
296,4.731984854
297,4.731984854
298,4.732080126
299,4.732080126
300,4.732080126
301,4.732080126
302,4.732080126
303,4.732080126
304,4.732175398
305,4.732175398
306,4.732175398
307,4.732175398
308,4.732175398
309,4.732175398
310,4.73227067
311,4.73227067
312,4.73227067
313,4.73227067
314,4.73227067
315,4.73227067
316,4.73227067
317,4.732365942
318,4.732365942
319,4.732365942
320,4.732365942
321,4.732365942
322,4.732365942
323,4.732365942
324,4.732461214
325,4.732461214
326,4.732461214
327,4.732461214
328,4.732461214
329,4.732461214
330,4.732461214
331,4.732556486
332,4.732556486
333,4.732556486
334,4.732556486
335,4.732556486
336,4.732556486
337,4.732556486
338,4.732651758
339,4.732651758
340,4.732651758
341,4.732651758
342,4.732651758
343,4.732651758
344,4.732651758
345,4.732651758
346,4.73274703
347,4.73274703
348,4.73274703
349,4.73274703
350,4.73274703
351,4.73274703
352,4.73274703
353,4.73274703
354,4.732842302
355,4.732842302
356,4.732842302
357,4.732842302
358,4.732842302
359,4.732842302
360,4.732842302
361,4.732842302
362,4.732937574
363,4.732937574
364,4.732937574
365,4.732937574
366,4.732937574
367,4.732937574
368,4.732937574
369,4.732937574
370,4.732937574
371,4.733032846
372,4.733032846
373,4.733032846
374,4.733032846
375,4.733032846
376,4.733032846
377,4.733032846
378,4.733032846
379,4.733032846
380,4.733128119
381,4.733128119
382,4.733128119
383,4.733128119
384,4.733128119
385,4.733128119
386,4.733128119
387,4.733128119
388,4.733128119
389,4.733223391
390,4.733223391
391,4.733223391
392,4.733223391
393,4.733223391
394,4.733223391
395,4.733223391
396,4.733223391
397,4.733223391
398,4.733223391
399,4.733318663
400,4.733318663
401,4.733318663
402,4.733318663
403,4.733318663
404,4.733318663
405,4.733318663
406,4.733318663
407,4.733318663
408,4.733318663
409,4.733413935
410,4.733413935
411,4.733413935
412,4.733413935
413,4.733413935
414,4.733413935
415,4.733413935
416,4.733413935
417,4.733413935
418,4.733413935
419,4.733509207
420,4.733509207
421,4.733509207
422,4.733509207
423,4.733509207
424,4.733509207
425,4.733509207
426,4.733509207
427,4.733509207
428,4.733509207
429,4.733509207
430,4.733604479
431,4.733604479
432,4.733604479
433,4.733604479
434,4.733604479
435,4.733604479
436,4.733604479
437,4.733604479
438,4.733604479
439,4.733604479
440,4.733604479
441,4.733604479
442,4.733699751
443,4.733699751
444,4.733699751
445,4.733699751
446,4.733699751
447,4.733699751
448,4.733699751
449,4.733699751
450,4.733699751
451,4.733699751
452,4.733699751
453,4.733699751
454,4.733795023
455,4.733795023
456,4.733795023
457,4.733795023
458,4.733795023
459,4.733795023
460,4.733795023
461,4.733795023
462,4.733795023
463,4.733795023
464,4.733795023
465,4.733795023
466,4.733890295
467,4.733890295
468,4.733890295
469,4.733890295
470,4.733890295
471,4.733890295
472,4.733890295
473,4.733890295
474,4.733890295
475,4.733890295
476,4.733890295
477,4.733890295
478,4.733890295
479,4.733985567
480,4.733985567
481,4.733985567
482,4.733985567
483,4.733985567
484,4.733985567
485,4.733985567
486,4.733985567
487,4.733985567
488,4.733985567
489,4.733985567
490,4.733985567
491,4.733985567
492,4.733985567
493,4.734080839
494,4.734080839
495,4.734080839
496,4.734080839
497,4.734080839
498,4.734080839
499,4.734080839
500,4.734080839
501,4.734080839
502,4.734080839
503,4.734080839
504,4.734080839
505,4.734080839
506,4.734080839
507,4.734176111
508,4.734176111
509,4.734176111
510,4.734176111
511,4.734176111
512,4.734176111
513,4.734176111
514,4.734176111
515,4.734176111
516,4.734176111
517,4.734176111
518,4.734176111
519,4.734176111
520,4.734176111
521,4.734176111
522,4.734271383
523,4.734271383
524,4.734271383
525,4.734271383
526,4.734271383
527,4.734271383
528,4.734271383
529,4.734271383
530,4.734271383
531,4.734271383
532,4.734271383
533,4.734271383
534,4.734271383
535,4.734271383
536,4.734271383
537,4.734271383
538,4.734366655
539,4.734366655
540,4.734366655
541,4.734366655
542,4.734366655
543,4.734366655
544,4.734366655
545,4.734366655
546,4.734366655
547,4.734366655
548,4.734366655
549,4.734366655
550,4.734366655
551,4.734366655
552,4.734366655
553,4.734366655
554,4.734366655
555,4.734461927
556,4.734461927
557,4.734461927
558,4.734461927
559,4.734461927
560,4.734461927
561,4.734461927
562,4.734461927
563,4.734461927
564,4.734461927
565,4.734461927
566,4.734461927
567,4.734461927
568,4.734461927
569,4.734461927
570,4.734461927
571,4.734461927
572,4.734557199
573,4.734557199
574,4.734557199
575,4.734557199
576,4.734557199
577,4.734557199
578,4.734557199
579,4.734557199
580,4.734557199
581,4.734557199
582,4.734557199
583,4.734557199
584,4.734557199
585,4.734557199
586,4.734557199
587,4.734557199
588,4.734557199
589,4.734557199
590,4.734652472
591,4.734652472
592,4.734652472
593,4.734652472
594,4.734652472
595,4.734652472
596,4.734652472
597,4.734652472
598,4.734652472
599,4.734652472
600,4.734652472
601,4.734652472
602,4.734652472
603,4.734652472
604,4.734652472
605,4.734652472
606,4.734652472
607,4.734652472
608,4.734652472
609,4.734652472
610,4.734747744
611,4.734747744
612,4.734747744
613,4.734747744
614,4.734747744
615,4.734747744
616,4.734747744
617,4.734747744
618,4.734747744
619,4.734747744
620,4.734747744
621,4.734747744
622,4.734747744
623,4.734747744
624,4.734747744
625,4.734747744
626,4.734747744
627,4.734747744
628,4.734747744
629,4.734747744
630,4.734843016
631,4.734843016
632,4.734843016
633,4.734843016
634,4.734843016
635,4.734843016
636,4.734843016
637,4.734843016
638,4.734843016
639,4.734843016
640,4.734843016
641,4.734843016
642,4.734843016
643,4.734843016
644,4.734843016
645,4.734843016
646,4.734843016
647,4.734843016
648,4.734843016
649,4.734843016
650,4.734843016
651,4.734938288
652,4.734938288
653,4.734938288
654,4.734938288
655,4.734938288
656,4.734938288
657,4.734938288
658,4.734938288
659,4.734938288
660,4.734938288
661,4.734938288
662,4.734938288
663,4.734938288
664,4.734938288
665,4.734938288
666,4.734938288
667,4.734938288
668,4.734938288
669,4.734938288
670,4.734938288
671,4.734938288
672,4.734938288
673,4.734938288
674,4.73503356
675,4.73503356
676,4.73503356
677,4.73503356
678,4.73503356
679,4.73503356
680,4.73503356
681,4.73503356
682,4.73503356
683,4.73503356
684,4.73503356
685,4.73503356
686,4.73503356
687,4.73503356
688,4.73503356
689,4.73503356
690,4.73503356
691,4.73503356
692,4.73503356
693,4.73503356
694,4.73503356
695,4.73503356
696,4.73503356
697,4.735128832
698,4.735128832
699,4.735128832
700,4.735128832
701,4.735128832
702,4.735128832
703,4.735128832
704,4.735128832
705,4.735128832
706,4.735128832
707,4.735128832
708,4.735128832
709,4.735128832
710,4.735128832
711,4.735128832
712,4.735128832
713,4.735128832
714,4.735128832
715,4.735128832
716,4.735128832
717,4.735128832
718,4.735128832
719,4.735128832
720,4.735128832
721,4.735128832
722,4.735128832
723,4.735224104
724,4.735224104
725,4.735224104
726,4.735224104
727,4.735224104
728,4.735224104
729,4.735224104
730,4.735224104
731,4.735224104
732,4.735224104
733,4.735224104
734,4.735224104
735,4.735224104
736,4.735224104
737,4.735224104
738,4.735224104
739,4.735224104
740,4.735224104
741,4.735224104
742,4.735224104
743,4.735224104
744,4.735224104
745,4.735224104
746,4.735224104
747,4.735224104
748,4.735224104
749,4.735319376
750,4.735319376
751,4.735319376
752,4.735319376
753,4.735319376
754,4.735319376
755,4.735319376
756,4.735319376
757,4.735319376
758,4.735319376
759,4.735319376
760,4.735319376
761,4.735319376
762,4.735319376
763,4.735319376
764,4.735319376
765,4.735319376
766,4.735319376
767,4.735319376
768,4.735319376
769,4.735319376
770,4.735319376
771,4.735319376
772,4.735319376
773,4.735319376
774,4.735319376
775,4.735319376
776,4.735319376
777,4.735414648
778,4.735414648
779,4.735414648
780,4.735414648
781,4.735414648
782,4.735414648
783,4.735414648
784,4.735414648
785,4.735414648
786,4.735414648
787,4.735414648
788,4.735414648
789,4.735414648
790,4.735414648
791,4.735414648
792,4.735414648
793,4.735414648
794,4.735414648
795,4.735414648
796,4.735414648
797,4.735414648
798,4.735414648
799,4.735414648
800,4.735414648
801,4.735414648
802,4.735414648
803,4.735414648
804,4.735414648
805,4.735414648
806,4.735414648
807,4.73550992
808,4.73550992
809,4.73550992
810,4.73550992
811,4.73550992
812,4.73550992
813,4.73550992
814,4.73550992
815,4.73550992
816,4.73550992
817,4.73550992
818,4.73550992
819,4.73550992
820,4.73550992
821,4.73550992
822,4.73550992
823,4.73550992
824,4.73550992
825,4.73550992
826,4.73550992
827,4.73550992
828,4.73550992
829,4.73550992
830,4.73550992
831,4.73550992
832,4.73550992
833,4.73550992
834,4.73550992
835,4.73550992
836,4.73550992
837,4.73550992
838,4.735605192
839,4.735605192
840,4.735605192
841,4.735605192
842,4.735605192
843,4.735605192
844,4.735605192
845,4.735605192
846,4.735605192
847,4.735605192
848,4.735605192
849,4.735605192
850,4.735605192
851,4.735605192
852,4.735605192
853,4.735605192
854,4.735605192
855,4.735605192
856,4.735605192
857,4.735605192
858,4.735605192
859,4.735605192
860,4.735605192
861,4.735605192
862,4.735605192
863,4.735605192
864,4.735605192
865,4.735605192
866,4.735605192
867,4.735605192
868,4.735605192
869,4.735605192
870,4.735605192
871,4.735605192
872,4.735700464
873,4.735700464
874,4.735700464
875,4.735700464
876,4.735700464
877,4.735700464
878,4.735700464
879,4.735700464
880,4.735700464
881,4.735700464
882,4.735700464
883,4.735700464
884,4.735700464
885,4.735700464
886,4.735700464
887,4.735700464
888,4.735700464
889,4.735700464
890,4.735700464
891,4.735700464
892,4.735700464
893,4.735700464
894,4.735700464
895,4.735700464
896,4.735700464
897,4.735700464
898,4.735700464
899,4.735700464
900,4.735700464
901,4.735700464
902,4.735700464
903,4.735700464
904,4.735700464
905,4.735700464
906,4.735700464
907,4.735700464
908,4.735795736
909,4.735795736
910,4.735795736
911,4.735795736
912,4.735795736
913,4.735795736
914,4.735795736
915,4.735795736
916,4.735795736
917,4.735795736
918,4.735795736
919,4.735795736
920,4.735795736
921,4.735795736
922,4.735795736
923,4.735795736
924,4.735795736
925,4.735795736
926,4.735795736
927,4.735795736
928,4.735795736
929,4.735795736
930,4.735795736
931,4.735795736
932,4.735795736
933,4.735795736
934,4.735795736
935,4.735795736
936,4.735795736
937,4.735795736
938,4.735795736
939,4.735795736
940,4.735795736
941,4.735795736
942,4.735795736
943,4.735795736
944,4.735795736
945,4.735795736
946,4.735891008
947,4.735891008
948,4.735891008
949,4.735891008
950,4.735891008
951,4.735891008
952,4.735891008
953,4.735891008
954,4.735891008
955,4.735891008
956,4.735891008
957,4.735891008
958,4.735891008
959,4.735891008
960,4.735891008
961,4.735891008
962,4.735891008
963,4.735891008
964,4.735891008
965,4.735891008
966,4.735891008
967,4.735891008
968,4.735891008
969,4.735891008
970,4.735891008
971,4.735891008
972,4.735891008
973,4.735891008
974,4.735891008
975,4.735891008
976,4.735891008
977,4.735891008
978,4.735891008
979,4.735891008
980,4.735891008
981,4.735891008
982,4.735891008
983,4.735891008
984,4.735891008
985,4.735891008
986,4.73598628
987,4.73598628
988,4.73598628
989,4.73598628
990,4.73598628
991,4.73598628
992,4.73598628
993,4.73598628
994,4.73598628
995,4.73598628
996,4.73598628
997,4.73598628
998,4.73598628
999,4.73598628
1000,4.73598628
